Investigation,Study,Person,Data,Biological,Environment,Event,Observation Unit,Sample,Observed Variable
"gain insight genetic architecture adaptive trait , conducted 50K SNP-based genome-wide association diversity investigation panel tropical temperate American European representative .","Selection test also revealed supplementary locus highly differentiated among group associated flowering time panel , whereas linkage-based study .","funders role study design , data collection analysis , decision publish , preparation manuscript .","funders role study design , data collection analysis , decision publish , preparation manuscript .","Adaptation Maize Temperate Climates : Mid-Density Genome-Wide Association Genetics Diversity Patterns Reveal Key Genomic Regions , Major Contribution Vgt2 ( ZCN8 ) Locus Sophie Bouchet1¤ , Bertrand Servin2 , Pascal Bertin1 , Delphine Madur1 , Vale´ rie Combes1 , Fabrice Dumas1 , Dominique Brunel3 , Jacques Laborde4 , Alain Charcosset1 * , Ste´ phane Nicolas1 1 UMR de Ge´ne´tique Ve´ge´tale , INRA – Universite´ Paris-Sud – CNRS , Gif-sur-Yvette , France , 2 UMR444 , Laboratoire de Genetique Cellulaire , INRA , Castanet-Tolosan , France , 3 UR1279 , Etude du Polymorphisme de Ge´nomes Ve´ge´taux , INRA , Commissariat ` l ’ Energie Atomique ( CEA ) Institut de Ge´nomique , Centre National de Ge´notypage , Evry , France , 4 INRA Stn Expt Mais , St Martin De Hinx , France Abstract migration maize tropical temperate climate accompanied dramatic evolution flowering time .",polymorphism vicinity causal factor Vgt2 QTL .,number early allele cumulated along region highly correlated flowering time .,polymorphism vicinity causal factor Vgt2 QTL .,suggests allele fixation led lack statistical power structure relatedness taken account linear mixed model .,"Adaptation Maize Temperate Climates : Mid-Density Genome-Wide Association Genetics Diversity Patterns Reveal Key Genomic Regions , Major Contribution Vgt2 ( ZCN8 ) Locus Sophie Bouchet1¤ , Bertrand Servin2 , Pascal Bertin1 , Delphine Madur1 , Vale´ rie Combes1 , Fabrice Dumas1 , Dominique Brunel3 , Jacques Laborde4 , Alain Charcosset1 * , Ste´ phane Nicolas1 1 UMR de Ge´ne´tique Ve´ge´tale , INRA – Universite´ Paris-Sud – CNRS , Gif-sur-Yvette , France , 2 UMR444 , Laboratoire de Genetique Cellulaire , INRA , Castanet-Tolosan , France , 3 UR1279 , Etude du Polymorphisme de Ge´nomes Ve´ge´taux , INRA , Commissariat ` l ’ Energie Atomique ( CEA ) Institut de Ge´nomique , Centre National de Ge´notypage , Evry , France , 4 INRA Stn Expt Mais , St Martin De Hinx , France Abstract migration maize tropical temperate climate accompanied dramatic evolution flowering time ."
Eighteen genomic region associated flowering time .,Complementary design analysis method necessary unravel architecture complex trait .,PLOS ONE | www.plosone.org 1 August 2013 | Volume 8 | Issue 8 | e71377 optimal moment Flowering time play key role acclimation plant different environment integrating diverse environmental endogenous signal control transition vegetative reproductive phase .,conformity check newly extracted DNA sample compared reference DNA sample revealed 10 illegitimate strongly divergent sample removed ( see Data S1 Text S1 ) .,"doi:10.1371/ journal.pone.0071377 Editor : James C. Nelson , Kansas State University , United States America Received December 7 , 2012 ; Accepted July 1 , 2013 ; Published August 30 , 2013 Copyright : ( cid:2 ) 2013 Bouchet et al .",result show maize flowering time controlled numerous QTLs small additive effect strong polygenic selection occurred cool climatic condition .,"Based linkage disequilibrium ( LD ) estimate corrected population structure , concluded number SNPs genotyped least doubled capture QTLs contributing genetic architecture polygenic trait panel .","open-access article distributed term Creative Commons Attribution License , permit unrestricted use , distribution , reproduction medium , provided original author source credited .","Based linkage disequilibrium ( LD ) estimate corrected population structure , concluded number SNPs genotyped least doubled capture QTLs contributing genetic architecture polygenic trait panel .","gain insight genetic architecture adaptive trait , conducted 50K SNP-based genome-wide association diversity investigation panel tropical temperate American European representative ."
"Diversity lower , whereas differentiation LD higher associated locus compared rest genome , consistent selection acting flowering time maize migration .","funders role study design , data collection analysis , decision publish , preparation manuscript .","highest local LD observed Su1 [ 93,94,95,96 ] , Tga1 [ 97 ] Bt2 chromosome 4 , region involved carbohydrate metabolism [ 98,99 ] known played key role maize domestication .","Among 365 remaining line genotyped 50K Illumina array , 29 removed since 10 % missing data 5 % heterozygosity .","open-access article distributed term Creative Commons Attribution License , permit unrestricted use , distribution , reproduction medium , provided original author source credited .","* E-mail : alain.charcosset @ moulon.inra.fr ¤ Current address : Euralis , Domaine de Sandreau , Mondonville , France Introduction Maize domesticated tropical condition lowland southwest Mexico later adapted broadest range climatic condition crop , 40uS Chile 50uN Canada Russia , sea level West Indies elevation 3400 Andes [ 1–4 ] .",Silk emergence date ( female flowering ) varies 32 day among founder line thenested association mapping ( NAM ) population 28 day among recombinant inbred line derived parent [ 4 ] .,"second gene shown major downstream effect Dfl1 ( Delayed flowering1 ) , transcription factor express shoot apical region [ 18 ] .","funders role study design , data collection analysis , decision publish , preparation manuscript .",Eighteen genomic region associated flowering time .
"Selection test also revealed supplementary locus highly differentiated among group associated flowering time panel , whereas linkage-based study .","* E-mail : alain.charcosset @ moulon.inra.fr ¤ Current address : Euralis , Domaine de Sandreau , Mondonville , France Introduction Maize domesticated tropical condition lowland southwest Mexico later adapted broadest range climatic condition crop , 40uS Chile 50uN Canada Russia , sea level West Indies elevation 3400 Andes [ 1–4 ] .","question remains maize ZCN gene role similar Arabidopsis FT. confirmed Genome Scan Flowering Time Adaptation Maize ZCN8 , similar homologue Arabidopsis FT , major effect flowering time variation .",45747 ( 92 % ) polymorphic panel 336 line le 20 % missing data 15 % heterozygosity 45615 ( 99.7 % ) redundant according probe sequence .,Material Methods Genetic material sample 375 maize line representing worldwide diversity considered [ 30 ] .,PLOS ONE | www.plosone.org 1 August 2013 | Volume 8 | Issue 8 | e71377 optimal moment Flowering time play key role acclimation plant different environment integrating diverse environmental endogenous signal control transition vegetative reproductive phase .,"Compared specie like Arabidopsis [ 6 ] sorghum [ 7 ] rice [ 8,9 ] , natural variation limited number gene shown large effect , flowering time architecture maize complex .","Another major factor flowering time variation , Vgt1 , detected linkage-based QTL analysis association genetics study [ 4,10,19,20,21,22,23,24 ] .","Among germplasm available , maize landraces , time planting mature grain stage range 2 11 month [ 3 ] .",number early allele cumulated along region highly correlated flowering time .
"open-access article distributed term Creative Commons Attribution License , permit unrestricted use , distribution , reproduction medium , provided original author source credited .",Silk emergence date ( female flowering ) varies 32 day among founder line thenested association mapping ( NAM ) population 28 day among recombinant inbred line derived parent [ 4 ] .,Recent empirical theoretical study suggest restricted recombination region play important role formation new genetic group specie .,Finally 43224 ( 95 % polymorphic marker ) non-redundant MAF.0.05 physically mapped version 2 B73 genome sequence ( called RefGen_v2 ) used linkage disequilibrium ( LD ) association analysis .,"Group Northern Flint European Flint Iowa Stiff Stalk Corn Belt Dent Tropical Whole panel Abba NF EF SS CBD Trop S1P9 b Nq 57 62 26 115 76 336 Nq.0.8c Mean Simd 30 39 9 109 55 242 0.73 0.70 0.80 0.65 0.67 0.64 e 0.276 0.299 0.214 0.349 0.339 0.36 Polymf 0.84 0.89 0.52 0.98 0.98 - aAbb : abbreviation describing group , bNq = gi diq index line q index group , diq assignment proportion line group q according STRUCTURE software [ 40,41 ] using 55 SSRs , Nq number line group q ; cnumber line assigned group q genome proportion 0.8 ; dmean similarity within group , calculated IBS ( identity state ) ; eexpected heterozygosity inside group computed r-Hierfstat [ 46 ] ; f percentage polymorphic locus within group , , e , fstatistics computed considering line assignment one group 0.8. doi:10.1371/journal.pone.0071377.t001 relatively non-admixed line consisted 30 NF , 39 EF , 9 SS , 109 CBD 55 Trop ( Table 1 ) .","second gene shown major downstream effect Dfl1 ( Delayed flowering1 ) , transcription factor express shoot apical region [ 18 ] .","order determine extent variation LD [ 33 ] estimate number marker required cover genome future exhaustive genome scan , looked LD using unbiased measure extract part correlation allelic frequency due intrinsic structure panel [ 34 ] .","cloned described regulatory factor control expression Apetala2-like gene , ZmRap2.7 [ 24 ] .",Silk emergence date ( female flowering ) varies 32 day among founder line thenested association mapping ( NAM ) population 28 day among recombinant inbred line derived parent [ 4 ] .,"Polymorphism vicinity ZCN8 gene , closest maize homologue Arabidopsis major flowering time ( FT ) gene , strongest effect ."
Silk emergence date ( female flowering ) varies 32 day among founder line thenested association mapping ( NAM ) population 28 day among recombinant inbred line derived parent [ 4 ] .,"Another major factor flowering time variation , Vgt1 , detected linkage-based QTL analysis association genetics study [ 4,10,19,20,21,22,23,24 ] .","Banfield MJ , Brady RL ( 2000 ) structure Antirrhinum centroradialis protein ( CEN ) suggests role kinase regulator .",considered line haploid replaced heterozygous genotype missing data .,"Allele frequency K cluster ( 2 15 ) estimated , percentage genome derived cluster estimated accession .","Another major factor flowering time variation , Vgt1 , detected linkage-based QTL analysis association genetics study [ 4,10,19,20,21,22,23,24 ] .",conducted association study focused female ( FFLW ) male flowering ( MFLW ) date anthesis-to-silking date interval ( ASI ) .,"investigation identify main factor controlling maize flowering time panel representative diverse migration route would beneficial : ( ) gain insight adaptation mechanism changing environment , ( ii ) identify allele introgression existing variety order adapt better predict different environmental condition , ( iii ) flowering time benefit global crop management local breeding program , since flowering time often considered major covariate yield estimation .",PLOS ONE | www.plosone.org 1 August 2013 | Volume 8 | Issue 8 | e71377 optimal moment Flowering time play key role acclimation plant different environment integrating diverse environmental endogenous signal control transition vegetative reproductive phase .,"Diversity lower , whereas differentiation LD higher associated locus compared rest genome , consistent selection acting flowering time maize migration ."
"investigation identify main factor controlling maize flowering time panel representative diverse migration route would beneficial : ( ) gain insight adaptation mechanism changing environment , ( ii ) identify allele introgression existing variety order adapt better predict different environmental condition , ( iii ) flowering time benefit global crop management local breeding program , since flowering time often considered major covariate yield estimation .","However , choice panel important level polymorphism genetic group determine power analysis .",,"Phenotypic data three different whole panel location tested ( Germany_Einbeck : 52uN , 10uE , France_Gif-sur-Yvette : 49uN , 2uE , Saint-Martin-de-Hinx : 43uN , 1.3uW ) .","Polymorphism MAF distribution group basis Among 43224 polymorphic SNP marker 29911 Panzea SNPs ( see Material Methods marker sampling detail ) , 4 % displayed rare allele ( MAF,0.05 ) .","cloned described regulatory factor control expression Apetala2-like gene , ZmRap2.7 [ 24 ] .",compared diversity recombination pattern flowering time QTLs compared rest genome order identify putative selective event may shaped flowering time along ancient migration route .,"reference , considered 535 SNPs discovered region fully sequenced panel around Vgt1 chromosome 8 [ 21 ] , ZmCCT chromosome 10 [ 32 ] Tb1- D8 chromosome 1 [ 30 ] order compare MAF distribution .","allows plant avoid drought thus kernel abortion , optimize light interception period yield instance .","Selection test also revealed supplementary locus highly differentiated among group associated flowering time panel , whereas linkage-based study ."
conducted association study focused female ( FFLW ) male flowering ( MFLW ) date anthesis-to-silking date interval ( ASI ) .,"Differentiation flowering time maize genetic group actually clear QTL level [ 29,30 ] .",,Note 2002 data considered [ 30 ] .,"doi:10.1371/journal.pone.0071377.t002 Genome Scan Flowering Time Adaptation Maize Identification locus selection SNPs , Hierfstat FST ( FST ) based non-admixed line ( assignment group .0.8 ) ranged 0 0.95 .","investigation identify main factor controlling maize flowering time panel representative diverse migration route would beneficial : ( ) gain insight adaptation mechanism changing environment , ( ii ) identify allele introgression existing variety order adapt better predict different environmental condition , ( iii ) flowering time benefit global crop management local breeding program , since flowering time often considered major covariate yield estimation .","Group Northern Flint European Flint Iowa Stiff Stalk Corn Belt Dent Tropical Whole panel Abba NF EF SS CBD Trop S1P9 b Nq 57 62 26 115 76 336 Nq.0.8c Mean Simd 30 39 9 109 55 242 0.73 0.70 0.80 0.65 0.67 0.64 e 0.276 0.299 0.214 0.349 0.339 0.36 Polymf 0.84 0.89 0.52 0.98 0.98 - aAbb : abbreviation describing group , bNq = gi diq index line q index group , diq assignment proportion line group q according STRUCTURE software [ 40,41 ] using 55 SSRs , Nq number line group q ; cnumber line assigned group q genome proportion 0.8 ; dmean similarity within group , calculated IBS ( identity state ) ; eexpected heterozygosity inside group computed r-Hierfstat [ 46 ] ; f percentage polymorphic locus within group , , e , fstatistics computed considering line assignment one group 0.8. doi:10.1371/journal.pone.0071377.t001 relatively non-admixed line consisted 30 NF , 39 EF , 9 SS , 109 CBD 55 Trop ( Table 1 ) .",set parameter default value using admixture model infer ALPHA option .,"concluded simple additive model accurately predict flowering time , contrast genetic architecture observed selfing plant specie like rice Arabidopsis .",Complementary design analysis method necessary unravel architecture complex trait .
Finally 43224 ( 95 % polymorphic marker ) non-redundant MAF.0.05 physically mapped version 2 B73 genome sequence ( called RefGen_v2 ) used linkage disequilibrium ( LD ) association analysis .,proven efficient study thus designed ass potential currently available mid-density array [ 31 ] order gain insight maize flowering time architecture .,,"global ANOVA data performed test location genotype-by-location interaction signifi- genotype , cance .",Extracting variation due population structure LD measure ( see Material Methods detail ) led decrease r2s relative r2 ( Figure S15 Figure S16 Text S1 ) .,set parameter default value using admixture model infer ALPHA option .,assumed single domestication event restricted analysis correlated frequency model [ 41 ] .,"positive alpha value suggests diversifying selection , whereas negative value suggest balancing purifying selection .","example , case extreme differentiation leading fixation different allele different group , locus undetectable association genetics approach used include structure model , show significant test selection .","Based linkage disequilibrium ( LD ) estimate corrected population structure , concluded number SNPs genotyped least doubled capture QTLs contributing genetic architecture polygenic trait panel ."
Additional marker belonging two main set diverse origin considered association genetics investigation .,"analyzed panel line adapted different representing broad range line , Corn-Belt Dents Stiff Stalk , environment ( tropical Northern European Flints ) previous flowering time candidate gene-based association study [ 21,30,32 ] .",,relative quality statistical model estimated data set Akaike Information Criterion ( AIC ) penalizes likelihood increasing number parameter estimate ( number structure covariates + number marker + polygenic variance + residual variance ) .,doi:10.1371/journal.pone.0071377.g001 Total diversity higher centromeric region ( Figure S17 Text S1 ) .,"positive alpha value suggests diversifying selection , whereas negative value suggest balancing purifying selection .","Allele frequency K cluster ( 2 15 ) estimated , percentage genome derived cluster estimated accession .",locus locus-specific component BayeScan us posterior odds ( PO ) instead Bayes factor make decision chance locus selection .,therefore first compared structure panel obtained different marker set order use appropriate one statistical analysis .,result show maize flowering time controlled numerous QTLs small additive effect strong polygenic selection occurred cool climatic condition .
