Sentence,Topic scores,Assigned topic
"['Adaptation', 'Maize', 'Temperate', 'Climates', ':', 'Mid-Density', 'Genome-Wide', 'Association', 'Genetics', 'Diversity', 'Patterns', 'Reveal', 'Key', 'Genomic', 'Regions', ',', 'Major', 'Contribution', 'Vgt2', '(', 'ZCN8', ')', 'Locus', 'Sophie', 'Bouchet1¤', ',', 'Bertrand', 'Servin2', ',', 'Pascal', 'Bertin1', ',', 'Delphine', 'Madur1', ',', 'Vale´', 'rie', 'Combes1', ',', 'Fabrice', 'Dumas1', ',', 'Dominique', 'Brunel3', ',', 'Jacques', 'Laborde4', ',', 'Alain', 'Charcosset1', '*', ',', 'Ste´', 'phane', 'Nicolas1', '1', 'UMR', 'de', 'Ge´ne´tique', 'Ve´ge´tale', ',', 'INRA', '–', 'Universite´', 'Paris-Sud', '–', 'CNRS', ',', 'Gif-sur-Yvette', ',', 'France', ',', '2', 'UMR444', ',', 'Laboratoire', 'de', 'Genetique', 'Cellulaire', ',', 'INRA', ',', 'Castanet-Tolosan', ',', 'France', ',', '3', 'UR1279', ',', 'Etude', 'du', 'Polymorphisme', 'de', 'Ge´nomes', 'Ve´ge´taux', ',', 'INRA', ',', 'Commissariat', '`', 'l', '’', 'Energie', 'Atomique', '(', 'CEA', ')', 'Institut', 'de', 'Ge´nomique', ',', 'Centre', 'National', 'de', 'Ge´notypage', ',', 'Evry', ',', 'France', ',', '4', 'INRA', 'Stn', 'Expt', 'Mais', ',', 'St', 'Martin', 'De', 'Hinx', ',', 'France', 'Abstract', 'migration', 'maize', 'tropical', 'temperate', 'climate', 'accompanied', 'dramatic', 'evolution', 'flowering', 'time', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['gain', 'insight', 'genetic', 'architecture', 'adaptive', 'trait', ',', 'conducted', '50K', 'SNP-based', 'genome-wide', 'association', 'diversity', 'investigation', 'panel', 'tropical', 'temperate', 'American', 'European', 'representative', '.']","[0, 0, 0.46358347879945133, 0, 0, 0, 0.18868698598281292, 0, 0.1533654152708124, 0]",6
"['Eighteen', 'genomic', 'region', 'associated', 'flowering', 'time', '.']","[0.9085357542086774, 0, 0, 0, 0, 0, 0.5724324625999888, 0, 0.5724324625999888, 0]",0
"['number', 'early', 'allele', 'cumulated', 'along', 'region', 'highly', 'correlated', 'flowering', 'time', '.']","[0.7303588930328113, 0, 0, 0, 0, 0.6078166655208734, 0.4601702660394661, 0, 0.4601702660394661, 0]",2
"['Polymorphism', 'vicinity', 'ZCN8', 'gene', ',', 'closest', 'maize', 'homologue', 'Arabidopsis', 'major', 'flowering', 'time', '(', 'FT', ')', 'gene', ',', 'strongest', 'effect', '.']","[0.3246353361517583, 0.15883642117762023, 0, 0, 0, 0.19341179493523175, 0.4834717573293785, 0, 0.3246353361517583, 0.23117637011720213]",3
"['polymorphism', 'vicinity', 'causal', 'factor', 'Vgt2', 'QTL', '.']","[0, 0, 0, 0.36701216583788493, 0, 0, 0, 0, 0, 0]",3
"['Diversity', 'lower', ',', 'whereas', 'differentiation', 'LD', 'higher', 'associated', 'locus', 'compared', 'rest', 'genome', ',', 'consistent', 'selection', 'acting', 'flowering', 'time', 'maize', 'migration', '.']","[0.3497863520063272, 0.17114222064688625, 0.599995420257839, 0, 0, 0, 0.7149666489329104, 0, 0.5561498486378761, 0]",2
"['Selection', 'test', 'also', 'revealed', 'supplementary', 'locus', 'highly', 'differentiated', 'among', 'group', 'associated', 'flowering', 'time', 'panel', ',', 'whereas', 'linkage-based', 'study', '.']","[0.3600352503997393, 0, 0.19972347971764412, 0, 0, 0.19972347971764412, 0.5597587301173834, 0, 0.5724452908628432, 0]",2
"['suggests', 'allele', 'fixation', 'led', 'lack', 'statistical', 'power', 'structure', 'relatedness', 'taken', 'account', 'linear', 'mixed', 'model', '.']","[0, 0, 0.18150532113287288, 0, 0, 0.18767160948518072, 0.18078767818378239, 0, 0, 0]",6
"['Complementary', 'design', 'analysis', 'method', 'necessary', 'unravel', 'architecture', 'complex', 'trait', '.']","[0, 0, 0, 0, 0, 0, 0.2664233978668081, 0, 0, 0]",4
"['Based', 'linkage', 'disequilibrium', '(', 'LD', ')', 'estimate', 'corrected', 'population', 'structure', ',', 'concluded', 'number', 'SNPs', 'genotyped', 'least', 'doubled', 'capture', 'QTLs', 'contributing', 'genetic', 'architecture', 'polygenic', 'trait', 'panel', '.']","[0, 0, 0.4655322078486178, 0, 0, 0, 0.18626006260488012, 0, 0, 0]",2
"['result', 'show', 'maize', 'flowering', 'time', 'controlled', 'numerous', 'QTLs', 'small', 'additive', 'effect', 'strong', 'polygenic', 'selection', 'occurred', 'cool', 'climatic', 'condition', '.']","[0.2959334109828279, 0.1447932454445583, 0, 0, 0, 0.1763117129453141, 0.4407266564273862, 0, 0.47052528144955463, 0]",0
